"","LE_x","GEOID","city","ACS.majBlack","LE"
"1815",83.9,6037534804,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.9
"1816",82.8,6037534900,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.8
"1817",76.5,6037535001,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.5
"1818",76.4,6037535002,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.4
"1819",79.4,6037535101,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.4
"1820",78.3,6037535102,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.3
"1821",74.2,6037535200,"Los Angeles-Long Beach-Anaheim, CA",FALSE,74.2
"1822",78.6,6037535300,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.6
"1823",76.1,6037535400,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.1
"1824",82.7,6037535501,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.7
"1825",86,6037535502,"Los Angeles-Long Beach-Anaheim, CA",FALSE,86
"1826",78.6,6037535503,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.6
"1827",79.7,6037535603,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.7
"1828",77.3,6037535604,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1829",81.8,6037535605,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.8
"1830",77.3,6037535606,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1831",85.7,6037535607,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85.7
"1832",78.7,6037535701,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1833",81.6,6037535702,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.6
"1834",81.6,6037535802,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.6
"1835",82,6037535803,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82
"1836",78.7,6037535804,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1837",81.9,6037535901,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.9
"1838",83.1,6037535902,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.1
"1839",78.7,6037536000,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1840",78.9,6037536102,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.9
"1841",79.2,6037536103,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.2
"1842",76.2,6037536104,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.2
"1843",85,6037536200,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85
"1844",82.1,6037540000,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.1
"1845",80.1,6037540101,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.1
"1846",77.4,6037540102,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.4
"1847",77.3,6037540201,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1848",80.1,6037540202,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.1
"1849",78.9,6037540203,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.9
"1850",78.9,6037540300,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.9
"1851",76.5,6037540400,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.5
"1852",78.3,6037540501,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.3
"1853",74.4,6037540600,"Los Angeles-Long Beach-Anaheim, CA",FALSE,74.4
"1854",77.9,6037540700,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.9
"1855",76.4,6037540800,"Los Angeles-Long Beach-Anaheim, CA",TRUE,76.4
"1856",84.7,6037540901,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.7
"1857",76.3,6037540902,"Los Angeles-Long Beach-Anaheim, CA",TRUE,76.3
"1858",75,6037541001,"Los Angeles-Long Beach-Anaheim, CA",FALSE,75
"1859",74.2,6037541002,"Los Angeles-Long Beach-Anaheim, CA",FALSE,74.2
"1860",75.3,6037541100,"Los Angeles-Long Beach-Anaheim, CA",FALSE,75.3
"1861",76.4,6037541200,"Los Angeles-Long Beach-Anaheim, CA",TRUE,76.4
"1862",76.3,6037541300,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.3
"1863",75.6,6037541400,"Los Angeles-Long Beach-Anaheim, CA",FALSE,75.6
"1864",75.9,6037541500,"Los Angeles-Long Beach-Anaheim, CA",FALSE,75.9
"1865",80.5,6037541603,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.5
"1866",78.1,6037541604,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.1
"1867",74.7,6037541605,"Los Angeles-Long Beach-Anaheim, CA",FALSE,74.7
"1868",75.3,6037541606,"Los Angeles-Long Beach-Anaheim, CA",FALSE,75.3
"1869",78.6,6037541700,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.6
"1870",78.4,6037541801,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.4
"1871",76.8,6037542000,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.8
"1872",80.6,6037542103,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.6
